"","tconst","id","title","bechdel_rating","year","averageRating","numVotes","runtimeMinutes","genres","primaryTitle"
"4866","1032755",1495,"RocknRolla","1",2008,7.3,211772,"114","Action,Crime,Thriller","RocknRolla"
"4867","1032846",1806,"4 Months, 3 Weeks and 2 Days","3",2007,7.9,49684,"113","Drama","4 Months, 3 Weeks and 2 Days"
"4868","1032856",1799,"Band&#39;s Visit, The","1",2007,7.6,11694,"87","Comedy,Drama,Music","The Band's Visit"
"4869","1033575",2869,"Descendants, The","3",2011,7.3,217200,"115","Comedy,Drama","The Descendants"
"4870","1033643",191,"What Happens In Vegas","3",2008,6.1,151884,"99","Comedy,Romance","What Happens in Vegas"
"4871","1034032",2536,"Gamer","1",2009,5.8,120680,"95","Action,Sci-Fi,Thriller","Gamer"
"4872","1034302",6580,"Cry of the Owl, The","0",2009,6,4075,"100","Drama,Thriller","The Cry of the Owl"
"4873","1034303",3711,"Defiance","3",2008,7.2,125892,"137","Action,Drama,History","Defiance"
"4874","1034314",3164,"Iron Sky","3",2012,5.9,84432,"93","Action,Comedy,Sci-Fi","Iron Sky"
"4875","1034325",2259,"Phoebe in Wonderland","3",2008,7.2,7045,"96","Drama","Phoebe in Wonderland"
"4876","1034389",2066,"Eagle, The","0",2011,6.2,58628,"114","Action,Adventure,Drama","The Eagle"
"4877","1035736",1821,"Coco avant Chanel","3",2009,6.7,34934,"105","Biography,Drama","Coco Before Chanel"
"4878","1037146",6861,"All about women","3",2008,5.1,416,"120","Comedy,Romance","All About Women"
"4879","1037705",848,"Book of Eli","3",2010,6.9,253916,"118","Action,Adventure,Drama","The Book of Eli"
"4880","1038686",979,"Legion","3",2010,5.2,87736,"100","Action,Fantasy,Horror","Legion"
"4881","1038988",3646,"[Rec]","3",2007,7.5,145395,"78","Horror,Mystery,Thriller","[Rec]"
"4882","1039960",7796,"Est&ocirc;mago","0",2007,7.8,4324,"113","Drama","Estomago: A Gastronomic Story"
"4883","1041829",1282,"Proposal, The","2",2009,6.7,255227,"108","Comedy,Drama,Romance","The Proposal"
"4884","1043726",5068,"Legend of Hercules, The","2",2014,4.2,48697,"99","Action,Adventure,Fantasy","The Legend of Hercules"
"4885","1043842",1764,"Appleseed Saga: Ex Machina","3",2007,7.1,8818,"105","Action,Animation,Drama","Appleseed Ex Machina"
"4886","1045658",3818,"Silver Linings Playbook","3",2012,7.8,591661,"122","Comedy,Drama,Romance","Silver Linings Playbook"
"4887","1045670",1290,"Happy-Go-Lucky","3",2008,7,34636,"118","Comedy,Drama,Romance","Happy-Go-Lucky"
"4888","1045772",757,"I Love You Phillip Morris","1",2009,6.6,84321,"98","Biography,Comedy,Crime","I Love You Phillip Morris"
"4889","1046173",453,"G.I. Joe: The Rise of Cobra","1",2009,5.8,185646,"118","Action,Adventure,Sci-Fi","G.I. Joe: The Rise of Cobra"
"4890","1046947",6097,"Last Chance Harvey","3",2008,6.7,19038,"93","Drama,Romance","Last Chance Harvey"
"4891","1046997",1451,"Miracle at St. Anna","2",2008,6,16533,"160","Action,Crime,Drama","Miracle at St. Anna"
"4892","1047540",4320,"Parental Guidance","3",2012,6.1,22866,"105","Comedy,Family","Parental Guidance"
"4893","1048171",2094,"S&eacute;raphine","3",2008,7.4,5337,"125","Biography,Drama","Séraphine"
"4894","1048174",1339,"World Unseen, The","3",2007,6.7,3199,"93","Drama","The World Unseen"
"4895","1049402",2778,"Howl","0",2010,6.8,11676,"84","Biography,Drama,Romance","Howl"
"4896","1049413",334,"Up","1",2009,8.3,778752,"96","Adventure,Animation,Comedy","Up"
"4897","1049948",5658,"Casi divas","3",2008,6.2,605,"107","Comedy,Musical","Casi divas"
"4898","1050001",3821,"Albino Farm","3",2009,3.9,1340,"90","Horror","Albino Farm"
"4899","1050002",2258,"My Last Five Girlfriends","3",2009,5.8,1849,"87","Comedy","My Last Five Girlfriends"
"4900","1050160",740,"Kataude mashin garu","3",2008,5.9,9110,"96","Action,Comedy,Horror","The Machine Girl"
"4901","1051904",6508,"Goosebumps","2",2015,6.3,63907,"103","Adventure,Comedy,Family","Goosebumps"
"4902","1052040",4767,"Seventh Moon","0",2008,4.7,2509,"87","Horror,Thriller","Seventh Moon"
"4903","1052352",5174,"Princess: A Modern Fairtyale","3",2008,5.6,1613,"88","Comedy,Family,Fantasy","Princess"
"4904","1053424",723,"Repo Men","3",2010,6.3,93129,"111","Action,Crime,Sci-Fi","Repo Men"
"4905","1053810",2788,"Big Year, The","2",2011,6.2,38012,"100","Comedy","The Big Year"
"4906","1054485",81,"Futurama: The Beast with a Billion Backs","2",2008,7.3,21113,"90","Animation,Comedy,Romance","Futurama: The Beast with a Billion Backs"
"4907","1054486",338,"Futurama: Bender&#39;s Game","1",2008,7.3,17931,"88","Action,Adventure,Animation","Futurama: Bender's Game"
"4908","1054487",276,"Futurama: Into the Wild Green Yonder","3",2009,7.3,15758,"89","Animation,Comedy,Sci-Fi","Futurama: Into the Wild Green Yonder"
"4909","1054580",2650,"Desert Flower","3",2009,7.4,10400,"120","Biography,Drama","Desert Flower"
"4910","1054588",470,"Flash of Genius","1",2008,7,15338,"119","Biography,Drama","Flash of Genius"
"4911","1054606",696,"Imaginarium of Doctor Parnassus, The","1",2009,6.8,134059,"123","Adventure,Fantasy,Mystery","The Imaginarium of Doctor Parnassus"
"4912","1055366",6347,"Camp Rock","3",2008,5.1,24384,"94","Comedy,Family,Music","Camp Rock"
"4913","1055369",477,"Transformers: Revenge of the Fallen","3",2009,6,350274,"150","Action,Adventure,Sci-Fi","Transformers: Revenge of the Fallen"
"4914","1056437",1829,"Sky Crawlers, The","3",2008,6.8,4836,"122","Adventure,Animation,Drama","The Sky Crawlers"
"4915","1056444",2078,"Damn Bastard!","0",2008,6.7,48,"83","Comedy,Horror","Damn Bastard!"
"4916","1057500",1186,"Invictus","1",2009,7.4,135425,"134","Biography,Drama,History","Invictus"
"4917","1058017",555,"Invention of Lying, The","2",2009,6.4,101974,"100","Comedy,Fantasy,Romance","The Invention of Lying"
"4918","1059786",463,"Eagle Eye","1",2008,6.6,161253,"118","Action,Mystery,Thriller","Eagle Eye"
"4919","1059925",3997,"According to Greta","3",2009,6.3,8784,"92","Drama,Romance","According to Greta"
"4920","1060277",889,"Cloverfield","3",2008,7,334658,"85","Action,Horror,Sci-Fi","Cloverfield"
"4921","1063669",7437,"Die Welle","3",2008,7.6,90372,"107","Drama,Thriller","The Wave"
"4922","1064932",6287,"Bienvenue chez les Ch&#39;tis","2",2008,7.1,34442,"106","Comedy,Romance","Welcome to the Sticks"
"4923","1065073",5508,"Boyhood","3",2014,7.9,302000,"165","Drama","Boyhood"
"4924","1067583",2325,"Water for Elephants","1",2011,6.9,102267,"120","Drama,Romance","Water for Elephants"
"4925","1067733",7657,"Patrik, Age 1.5","1",2008,6.9,8286,"103","Comedy,Drama,Romance","Patrik, Age 1.5"
"4926","1067765",6699,"Adult World","3",2013,6.2,15164,"97","Comedy,Drama","Adult World"
"4927","1067774",3170,"Monte Carlo","3",2011,5.8,36643,"109","Adventure,Comedy,Family","Monte Carlo"
"4928","1068242",2758,"Footloose","3",2011,5.9,41097,"113","Comedy,Drama,Music","Footloose"
"4929","1068641",6262,"Burning Plain, The","3",2008,6.8,16854,"107","Crime,Drama,Romance","The Burning Plain"
"4930","1068649",985,"I&#39;ve Loved You So Long","3",2008,7.6,18640,"117","Drama","I've Loved You So Long"
"4931","1068678",2956,"Veronika Decides to Die","3",2009,6.5,11056,"103","Drama,Romance","Veronika Decides to Die"
"4932","1068680",305,"Yes Man","1",2008,6.8,296185,"104","Comedy,Romance","Yes Man"
"4933","1069238",819,"Okuribito (Departures)","3",2008,8.1,42563,"130","Drama,Music","Departures"
"4934","1071804",2777,"Ink","3",2009,7,19676,"107","Action,Drama,Fantasy","Ink"
"4935","1071875",3083,"Ghost Rider: Spirit of Vengeance","0",2011,4.3,97592,"96","Action,Fantasy,Thriller","Ghost Rider: Spirit of Vengeance"
"4936","1072438",4931,"Not Since You","2",2009,5.7,1561,"90","Drama,Romance","Not Since You"
"4937","1073105",6533,"Descent: Part 2, The","3",2009,5.8,36994,"94","Adventure,Horror,Thriller","The Descent: Part 2"
