"nconst","tconst","crew.type","primaryName","primaryProfession"
"nm0466099","0024473","dir1","Alexander Korda","producer,director,miscellaneous"
"nm0466099","0033152","dir2","Alexander Korda","producer,director,miscellaneous"
"nm0466099","0040183","dir1","Alexander Korda","producer,director,miscellaneous"
"nm0466113","0033152","dir3","Zoltan Korda","director,producer,writer"
"nm0466113","0036323","writ2","Zoltan Korda","director,producer,writer"
"nm0466113","0036323","dir1","Zoltan Korda","director,producer,writer"
"nm0466153","0165078","writ1","Hirokazu Koreeda","director,writer,editor"
"nm0466153","2331143","dir1","Hirokazu Koreeda","director,writer,editor"
"nm0466153","1371630","writ2","Hirokazu Koreeda","director,writer,editor"
"nm0466153","0113725","dir1","Hirokazu Koreeda","director,writer,editor"
"nm0466153","0165078","dir1","Hirokazu Koreeda","director,writer,editor"
"nm0466153","2331143","writ1","Hirokazu Koreeda","director,writer,editor"
"nm0466153","3756788","writ2","Hirokazu Koreeda","director,writer,editor"
"nm0466153","1371630","dir1","Hirokazu Koreeda","director,writer,editor"
"nm0466153","3756788","dir1","Hirokazu Koreeda","director,writer,editor"
"nm0466175","0389860","writ1","Steve Koren","writer,producer,miscellaneous"
"nm0466175","0763831","writ1","Steve Koren","writer,producer,miscellaneous"
"nm0466175","0810913","writ2","Steve Koren","writer,producer,miscellaneous"
"nm0466175","0315327","writ1","Steve Koren","writer,producer,miscellaneous"
"nm0466190","1437357","writ3","Marina Koreneva","assistant_director,writer,miscellaneous"
"nm0466216","0114108","writ1","Rachel Koretsky","writer,editor"
"nm0466349","2719848","dir1","Baltasar Kormákur","producer,director,writer"
"nm0466349","1524137","dir1","Baltasar Kormákur","producer,director,writer"
"nm0466349","1272878","dir1","Baltasar Kormákur","producer,director,writer"
"nm0466473","0116705","writ1","Randy Kornfield","writer"
"nm0466925","0361862","writ1","Scott Kosar","producer,writer"
"nm0466925","0384806","writ1","Scott Kosar","producer,writer"
"nm0466925","0455407","writ1","Scott Kosar","producer,writer"
"nm0467017","0287471","dir1","Dover Koshashvili","director,actor,writer"
"nm0467017","0287471","writ1","Dover Koshashvili","director,actor,writer"
"nm0467085","0078841","writ1","Jerzy Kosinski","writer,actor"
"nm0467219","1485698","writ1","Lukasz Kosmicki","director,camera_department,cinematographer"
"nm0467225","0283139","dir1","Peter Kosminsky","director,producer,writer"
"nm0467396","0039054","dir1","Henry Koster","director,writer,producer"
"nm0467396","0054343","dir1","Henry Koster","director,writer,producer"
"nm0467396","0042546","dir1","Henry Koster","director,writer,producer"
