,tconst,id,title,bechdel_rating,year,averageRating,numVotes,runtimeMinutes,genres,primaryTitle
4540,808244.0,500,Easy Virtue,3,2008,6.7,18163.0,97,"Comedy,Romance",Easy Virtue
4541,808357.0,5501,"Lust, Caution",3,2007,7.6,33081.0,157,"Drama,Romance,Thriller","Lust, Caution"
4542,808417.0,295,Persepolis,3,2007,8.1,77987.0,96,"Animation,Biography,Drama",Persepolis
4543,808506.0,1878,Toki wo kakeru sh&amp;#333;jo (The Girl Who Leapt Through Time),3,2006,7.8,46517.0,98,"Adventure,Animation,Comedy",The Girl Who Leapt Through Time
4544,808526.0,1484,Life During Wartime,3,2009,6.4,6101.0,98,"Comedy,Drama",Life During Wartime
4545,809407.0,5287,A fost sau n-a fost?,1,2006,7.4,6238.0,89,"Comedy,Drama",12:08 East of Bucharest
4546,809533.0,7079,Las 13 rosas,3,2007,6.8,1462.0,100,Drama,13 Roses
4547,810784.0,886,Bright Star,3,2009,7.0,23120.0,119,"Biography,Drama,Romance",Bright Star
4548,810819.0,6655,"Danish Girl, The",3,2015,7.1,129879.0,119,"Biography,Drama,History",The Danish Girl
4549,810868.0,1524,Free Rainer,2,2007,6.7,4223.0,130,"Comedy,Drama",Free Rainer
4550,810900.0,6057,High School Musical 2 (TV Movie),3,2007,4.9,45953.0,104,"Comedy,Drama,Family",High School Musical 2
4551,810913.0,3452,Jack and Jill,3,2011,3.4,66942.0,91,Comedy,Jack and Jill
4552,811080.0,192,Speed Racer,3,2008,6.0,62423.0,135,"Action,Family,Sci-Fi",Speed Racer
4553,811138.0,60,"Love Guru, The",1,2008,3.8,45713.0,87,"Comedy,Romance,Sport",The Love Guru
4554,812243.0,5769,Ex Drummer,1,2007,7.0,8675.0,90,"Comedy,Crime,Drama",Ex Drummer
4555,814106.0,6631,Flatland: The Movie,2,2007,6.2,709.0,34,"Animation,Short",Flatland: The Movie
4556,814255.0,2537,Percy Jackson &amp; the Olympians: The Lightning Thief,3,2010,5.9,156598.0,118,"Adventure,Family,Fantasy",Percy Jackson & the Olympians: The Lightning Thief
4557,814314.0,2116,Seven Pounds,3,2008,7.6,256645.0,123,"Drama,Romance",Seven Pounds
4558,814331.0,680,Spring Breakdown,3,2009,4.9,4130.0,84,"Comedy,Romance",Spring Breakdown
4559,814795.0,2976,In the Arms of My Enemy,0,2007,6.7,492.0,85,"Action,Adventure,Drama",In the Arms of My Enemy
4560,815178.0,5028,"Life Before Her Eyes, The",3,2007,6.4,12769.0,90,"Drama,Fantasy,Mystery",The Life Before Her Eyes
4561,815244.0,3151,Sydney White,3,2007,6.3,41074.0,108,"Comedy,Drama,Romance",Sydney White
4562,815245.0,4765,"Uninvited, The",3,2009,6.4,68315.0,87,"Drama,Horror,Mystery",The Uninvited
4563,816436.0,3545,Black Water,3,2007,6.0,10931.0,90,"Action,Drama,Horror",Black Water
4564,816442.0,5014,"Book Thief, The",3,2013,7.6,113023.0,131,"Drama,War",The Book Thief
4565,816462.0,2636,Conan the Barbarian,3,2011,5.2,87477.0,113,"Action,Adventure,Fantasy",Conan the Barbarian
4566,816520.0,2713,Return To Halloweentown,3,2006,5.8,4508.0,88,"Comedy,Family,Fantasy",Return to Halloweentown
4567,816530.0,4728,Imprint,3,2007,6.0,446.0,84,"Drama,Thriller",Imprint
4568,816692.0,5902,Interstellar,3,2014,8.6,1164812.0,169,"Adventure,Drama,Sci-Fi",Interstellar
4569,816711.0,4259,World War Z,3,2013,7.0,522783.0,116,"Action,Adventure,Horror",World War Z
4570,817177.0,6657,Flipped,3,2010,7.7,70044.0,90,"Comedy,Drama,Romance",Flipped
4571,817230.0,989,Valentine&#39;s Day,3,2010,5.7,102688.0,125,"Comedy,Romance",Valentine's Day
4572,817400.0,7103,&quot;Masters of Horror&quot; Sounds Like,0,2006,6.2,1842.0,58,Horror,Sounds Like
4573,817401.0,7085,&quot;Masters of Horror&quot; The V Word,0,2006,5.1,1750.0,59,Horror,The V Word
4574,817402.0,7125,&quot;Masters of Horror&quot; We All Scream for Ice Cream,3,2007,5.3,1772.0,57,Horror,We All Scream for Ice Cream
4575,818165.0,540,"Alphabet Killer, The",3,2008,5.3,7217.0,98,"Crime,Mystery,Thriller",The Alphabet Killer
4576,818940.0,3193,Love &amp; Suicide,3,2006,4.7,387.0,98,"Drama,Romance",Love & Suicide
4577,819714.0,3467,"Edge of Love, The",3,2008,6.3,14792.0,110,"Biography,Drama,Romance",The Edge of Love
4578,821642.0,347,"Soloist, The",1,2009,6.7,46842.0,117,"Biography,Drama,Music",The Soloist
4579,822832.0,1144,Marley &amp; Me,2,2008,7.1,129570.0,115,"Comedy,Drama,Family",Marley & Me
4580,822847.0,2918,Priest,1,2011,5.7,104025.0,87,"Action,Fantasy,Horror",Priest
4581,822854.0,1184,Shooter,1,2007,7.2,279116.0,124,"Action,Crime,Drama",Shooter
4582,823671.0,473,Tinker Bell,3,2008,6.9,9846.0,78,"Adventure,Animation,Family",Tinker Bell
4583,824316.0,3959,Dor,3,2006,8.0,4840.0,147,Drama,Dor
4584,824747.0,286,Changeling,3,2008,7.8,214459.0,141,"Biography,Crime,Drama",Changeling
4585,824758.0,946,"Last Station, The",3,2009,7.0,16352.0,112,"Biography,Drama,Romance",The Last Station
4586,825232.0,103,"Bucket List, The",1,2007,7.4,204013.0,97,"Adventure,Comedy,Drama",The Bucket List
4587,825236.0,3707,Caramel,2,2007,7.1,10751.0,95,"Comedy,Drama,Romance",Caramel
4588,825244.0,6286,Dialogue avec mon jardinier,1,2007,7.1,2761.0,109,"Comedy,Drama",Conversations with My Gardener
4589,827517.0,5213,Reprise,1,2006,7.4,8315.0,105,Drama,Reprise
4590,829297.0,3663,Ten Inch Hero,3,2007,7.5,10955.0,102,"Comedy,Drama,Romance",Ten Inch Hero
4591,829482.0,651,Superbad,2,2007,7.6,460749.0,113,Comedy,Superbad
4592,830515.0,465,Quantum of Solace,1,2008,6.6,361444.0,106,"Action,Adventure,Thriller",Quantum of Solace
4593,830570.0,5584,I Can&#39;t Think Straight,3,2008,6.7,6635.0,82,"Drama,Romance",I Can't Think Straight
4594,831387.0,5466,Godzilla,2,2014,6.4,330782.0,123,"Action,Adventure,Sci-Fi",Godzilla
4595,831887.0,4805,"Spirit, The",2,2008,4.8,56261.0,103,"Action,Crime,Fantasy",The Spirit
4596,831888.0,2002,Tekkon kinkurito,0,2006,7.7,10693.0,111,"Action,Adventure,Animation",Tekkonkinkreet
4597,832266.0,545,"Definitely, Maybe",3,2008,7.2,139145.0,112,"Comedy,Drama,Romance","Definitely, Maybe"
4598,832958.0,1605,On the Trail of Igor Rizzi,0,2006,6.2,135.0,91,"Comedy,Drama",On the Trail of Igor Rizzi
4599,833098.0,7096,&quot;Masters of Horror&quot; The Screwfly Solution,3,2006,6.4,2094.0,59,Horror,The Screwfly Solution
4600,834001.0,539,Underworld: Rise of the Lycans,1,2009,6.6,135812.0,92,"Action,Adventure,Fantasy",Underworld: Rise of the Lycans
4601,837562.0,3591,Hotel Transylvania,3,2012,7.1,187154.0,91,"Animation,Comedy,Family",Hotel Transylvania
4602,838192.0,7153,Reine Geschmacksache,3,2007,6.7,1032.0,105,"Comedy,Romance",Fashion Victims
4603,838221.0,600,"Darjeeling Limited, The",1,2007,7.2,155046.0,91,"Adventure,Comedy,Drama",The Darjeeling Limited
4604,838247.0,6311,After.Life,1,2009,5.9,33290.0,104,"Drama,Horror,Mystery",After.Life
4605,838283.0,260,Step Brothers,1,2008,6.9,233397.0,98,Comedy,Step Brothers
4606,840361.0,1576,"Town, The",1,2010,7.6,307166.0,125,"Crime,Drama,Thriller",The Town
4607,840363.0,5995,Racing Daylight,3,2007,4.6,194.0,83,Drama,Racing Daylight
4608,841044.0,5291,2 Days in Paris,3,2007,6.8,28329.0,96,"Comedy,Drama,Romance",2 Days in Paris
4609,842926.0,1199,"Kids Are All Right, The",3,2010,7.0,117429.0,106,"Comedy,Drama,Romance",The Kids Are All Right
4610,844286.0,2424,"Brothers Bloom, The",3,2008,6.8,44750.0,114,"Adventure,Comedy,Drama",The Brothers Bloom
4611,844471.0,534,Cloudy with a Chance of Meatballs,1,2009,7.0,172923.0,90,"Action,Adventure,Animation",Cloudy with a Chance of Meatballs
4612,844708.0,5363,"Last House on the Left, The",3,2009,6.6,75112.0,110,"Horror,Thriller",The Last House on the Left
4613,844760.0,1,Starship Troopers 3: Marauder,3,2008,4.3,20918.0,105,"Action,Adventure,Sci-Fi",Starship Troopers 3: Marauder
4614,844794.0,2604,Northanger Abbey,3,2007,7.3,11531.0,84,"Drama,Romance",Northanger Abbey
4615,844993.0,2911,Hoodwinked Too! Hood vs. Evil,3,2011,4.8,10607.0,86,"Action,Animation,Comedy",Hoodwinked Too! Hood vs. Evil
4616,845046.0,240,Son of Rambow,1,2007,7.0,28736.0,96,"Action,Adventure,Comedy",Son of Rambow
4617,848228.0,3205,"Avengers, The",1,2012,8.1,1094811.0,143,"Action,Adventure,Sci-Fi",The Avengers
4618,848537.0,4180,Epic,3,2013,6.7,92199.0,102,"Adventure,Animation,Family",Epic
4619,848542.0,2248,Arranged,3,2007,7.4,2554.0,90,"Comedy,Drama,Romance",Arranged
4620,848557.0,964,Diary of the Dead,3,2007,5.7,42999.0,95,"Fantasy,Horror,Thriller",Diary of the Dead
4621,850677.0,3601,Jack and Diane,3,2012,4.5,2410.0,110,"Drama,Horror,Romance",Jack & Diane
4622,851578.0,1864,Paprika,3,2006,7.7,54966.0,90,"Adventure,Animation,Crime",Paprika
4623,852713.0,1014,"House Bunny, The",3,2008,5.5,70247.0,97,"Comedy,Romance",The House Bunny
4624,854548.0,7129,&quot;Masters of Horror&quot; The Washingtonians,3,2007,5.5,1710.0,57,Horror,The Washingtonians
4625,855729.0,2057,Times and Winds,3,2006,7.4,3276.0,111,Drama,Times and Winds
4626,855805.0,3957,Farval Falkenberg,0,2006,6.6,2546.0,91,Drama,Falkenberg Farewell
4627,856288.0,3629,Inside,3,2007,6.8,32497.0,82,Horror,Inside
4628,857191.0,2147,"Visitor, The",3,2007,7.7,39310.0,104,Drama,The Visitor
4629,859163.0,5656,"Mummy: Tomb of the Dragon Emperor, The",3,2008,5.2,132127.0,112,"Action,Adventure,Fantasy",The Mummy: Tomb of the Dragon Emperor
4630,859594.0,5549,Barbie in the 12 Dancing Princesses,3,2006,6.6,2397.0,83,"Animation,Family",Barbie in the 12 Dancing Princesses
4631,859765.0,934,Still Life (Sanxia haoren),2,2006,7.3,4843.0,111,Drama,Still Life
4632,860528.0,3424,Salvation,1,2007,3.4,111.0,86,"Action,Horror,Sci-Fi",Salvation
4633,860866.0,4886,Far North,3,2007,6.2,2550.0,89,"Crime,Drama,Romance",Far North
4634,860906.0,3732,Evangelion: 2.0 You Can (Not) Advance,3,2009,8.0,12764.0,112,"Action,Animation,Drama",Evangelion: 2.0 You Can (Not) Advance
4635,860907.0,4318,Evangelion: 3.0 You Can (Not) Redo,3,2012,7.0,7298.0,96,"Action,Animation,Drama",Evangelion: 3.0 You Can (Not) Redo
4636,861689.0,380,Blindness,3,2008,6.6,63562.0,121,"Drama,Mystery,Sci-Fi",Blindness
4637,861739.0,312,Tropa de Elite,3,2007,8.1,88819.0,115,"Action,Crime,Drama",Elite Squad
4638,862467.0,4129,Valhalla Rising,0,2009,6.0,48889.0,93,"Adventure,Drama,Fantasy",Valhalla Rising
4639,862846.0,346,Sunshine Cleaning,3,2008,6.9,64456.0,91,"Comedy,Drama",Sunshine Cleaning
4640,862856.0,1715,Trick &#39;r Treat,3,2007,6.8,69893.0,82,"Comedy,Horror,Thriller",Trick 'r Treat
